20221025-172347:12,10
20221025-172348:12,4.7
20221025-172349:12,2.4
20221025-172350:12,4.4
20221025-172351:12,2.5
20221025-172352:12,3.9
20221025-172353:12,5.5
20221025-172354:12,6.9
20221025-172355:12,9.8
20221025-172356:12,6.9
20221025-172357:12,5.1
20221025-172358:12,4.8
20221025-172359:12,4.3
20221025-172400:12,5.3
20221025-172401:12,4.2
20221025-172402:12,3.4
20221025-172403:12,10.8
20221025-172404:12,5.9
